Fecha,Precio Min. Bolsa diario,Precio Max. Bolsa diario,PPP Bolsa diario,Precio Escasez Activación,Precio Escasez Ponderado,PPP Bolsa Mes,Precio Escasez Inferior,Precio Escasez Superior,Precio Escasez
2024-11-18 00:00:00,110.2657555554,1068.0827555554,728.621592,936,918.4870059673004,1050.2438430704644,,,811.9273553702002
2024-11-19 00:00:00,232.8740253615,925.8600253615,709.218018,936,918.4870059673004,1050.2438430704644,,,811.9273553702002
2024-11-20 00:00:00,366.7011314716,1043.1011314717,759.307829,936,918.4870059673004,1050.2438430704644,,,811.9273553702002
2024-11-21 00:00:00,109.036540174,810.470540174,586.067943,936,918.4870059673004,1050.2438430704644,,,811.9273553702002
2024-11-22 00:00:00,104.1157304265,894.2707304265,694.591132,936,918.4870059673004,1050.2438430704644,,,811.9273553702002
2024-11-23 00:00:00,106.2101504435,757.1081504435,571.384805,936,918.4870059673004,1050.2438430704644,,,811.9273553702002
2024-11-24 00:00:00,101.9863037043,593.9863037043,238.439579,936,918.4870059673004,1050.2438430704644,,,811.9273553702002
2024-11-25 00:00:00,307.5484928115,896.8054928115,456.957347,936,918.4870059673004,1050.2438430704644,,,811.9273553702002
2024-11-26 00:00:00,309.3600305158,898.6170305158,512.649608,936,918.4870059673004,1050.2438430704644,,,811.9273553702002
2024-11-27 00:00:00,384.0548194487,936.8548194487,778.381809,936,918.4870059673004,1050.2438430704644,,,811.9273553702002
2024-11-28 00:00:00,749.7754318287,919.7754318287,801.426783,936,918.4870059673004,1050.2438430704644,,,811.9273553702002
2024-11-29 00:00:00,103.9139437375,760.3469437375,616.343709,936,918.4870059673004,1050.2438430704644,,,811.9273553702002
2024-11-30 00:00:00,108.7245211884,723.7245211884,456.818365,936,918.4870059673004,1050.2438430704644,,,811.9273553702002
2024-12-01 00:00:00,115.3995927944,723.5485927944,555.432376,949,928.3498757888995,759.2685641677738,,,798.7259312263
2024-12-02 00:00:00,556.1164673451,756.1164673451,664.168231,949,928.3498757888995,759.2685641677738,,,798.7259312263
2024-12-03 00:00:00,724.97499804,757.38899804,732.874748,949,928.3498757888995,759.2685641677738,,,798.7259312263
2024-12-04 00:00:00,754.9117640834,806.9117640834,782.239722,949,928.3498757888995,759.2685641677738,,,798.7259312263
2024-12-05 00:00:00,726.443831503,820.100831503,796.788327,949,928.3498757888995,759.2685641677738,,,798.7259312263
2024-12-06 00:00:00,766.1466531073,796.0466531073,785.068644,949,928.3498757888995,759.2685641677738,,,798.7259312263
2024-12-07 00:00:00,789.2392557397,835.5452557397,808.462261,949,928.3498757888995,759.2685641677738,,,798.7259312263
2024-12-08 00:00:00,249.7111926203,850.0631926203,721.848598,949,928.3498757888995,759.2685641677738,,,798.7259312263
2024-12-09 00:00:00,816.8841534413,861.5271534413,848.898452,949,928.3498757888995,759.2685641677738,,,798.7259312263
2024-12-10 00:00:00,828.935180296,909.104180296,863.471419,949,928.3498757888995,759.2685641677738,,,798.7259312263
2024-12-11 00:00:00,828.7828885162,951.5538885162,879.174389,949,928.3498757888995,759.2685641677738,,,798.7259312263
2024-12-12 00:00:00,784.0566469519,945.9746469519,895.958848,949,928.3498757888995,759.2685641677738,,,798.7259312263
2024-12-13 00:00:00,926.1072916678,967.1072916678,946.744063,949,928.3498757888995,759.2685641677738,,,798.7259312263
2024-12-14 00:00:00,995.5668762427,1095.5668762428,1010.703396,949,928.3498757888995,759.2685641677738,,,798.7259312263
2024-12-15 00:00:00,753.5262410329,1186.4532410329,947.802128,949,928.3498757888995,759.2685641677738,,,798.7259312263
2024-12-16 00:00:00,810.9138492985,1327.6128492985,1109.002526,949,928.3498757888995,759.2685641677738,,,798.7259312263
2024-12-17 00:00:00,809.8604722415,1357.0654722415,1062.370023,949,928.3498757888995,759.2685641677738,,,798.7259312263
2024-12-18 00:00:00,752.0105479679,1049.1325479679,937.904078,949,928.3498757888995,759.2685641677738,,,798.7259312263
2024-12-19 00:00:00,729.1514551831,1106.7144551831,895.873838,949,928.3498757888995,759.2685641677738,,,798.7259312263
2024-12-20 00:00:00,788.9060554899,1156.38105549,937.746223,949,928.3498757888995,759.2685641677738,,,798.7259312263
2024-12-21 00:00:00,790.2220513356,1156.0340513356,955.876239,949,928.3498757888995,759.2685641677738,,,798.7259312263
2024-12-22 00:00:00,796.5483275702,1007.9763275702,879.850894,949,928.3498757888995,759.2685641677738,,,798.7259312263
2024-12-23 00:00:00,122.1191746329,981.6021746329,743.541746,949,928.3498757888995,759.2685641677738,,,798.7259312263
2024-12-24 00:00:00,425.3456386008,937.8236386008,720.567167,949,928.3498757888995,759.2685641677738,,,798.7259312263
2024-12-25 00:00:00,112.0417504886,761.5247504886,443.126082,949,928.3498757888995,759.2685641677738,,,798.7259312263
2024-12-26 00:00:00,113.0824935365,692.5654935365,547.607321,949,928.3498757888995,759.2685641677738,,,798.7259312263
2024-12-27 00:00:00,114.3369088595,663.3369088595,405.348971,949,928.3498757888995,759.2685641677738,,,798.7259312263
2024-12-28 00:00:00,258.0547316333,555.8777316333,495.843997,949,928.3498757888995,759.2685641677738,,,798.7259312263
2024-12-29 00:00:00,110.9626732126,544.3456732126,304.374251,949,928.3498757888995,759.2685641677738,,,798.7259312263
2024-12-30 00:00:00,204.3567947237,509.3567947237,399.39102,949,928.3498757888995,759.2685641677738,,,798.7259312263
2024-12-31 00:00:00,119.0515448388,500.0515448388,168.29281,949,928.3498757888995,759.2685641677738,,,798.7259312263
2025-01-01 00:00:00,113.1289527083,448.6479527083,223.299887,952,930.6858028657005,532.7799693273073,,,797.385728443
2025-01-02 00:00:00,253.8467885759,620.1737885759,469.710282,952,930.6858028657005,532.7799693273073,,,797.385728443
2025-01-03 00:00:00,480.4145694082,550.4145694082,509.858374,952,930.6858028657005,532.7799693273073,,,797.385728443
